Wall time,Step,Value
1774776341.550985,100,7773.9501953125
1774776826.9424183,200,7779.85009765625
1774777315.4844928,300,7749.39990234375
1774777807.3521748,400,7745.85009765625
1774778292.0135977,500,7813.25
1774778783.0252078,600,7804.85009765625
1774779266.9896915,700,7828.7998046875
1774779759.7736394,800,7814.14990234375
1774780250.8431983,900,7852.9501953125
1774780741.2961252,1000,7820.25
1774781233.0797274,1100,7834.0
1774781730.9795988,1200,7798.0498046875
1774782231.5785072,1300,7841.39990234375
1774782729.2316363,1400,7824.2998046875
1774783225.2799675,1500,7814.89990234375
1774783717.4018342,1600,7803.5498046875
1774784211.8254178,1700,7807.10009765625
1774784707.1934679,1800,7812.7998046875
1774785206.033136,1900,7806.0498046875
1774785707.2520802,2000,7832.2998046875
1774786212.6799886,2100,7818.89990234375
1774786719.3670754,2200,7822.14990234375
1774787225.2024457,2300,7836.85009765625
1774787722.6196072,2400,7800.4501953125
1774788219.8891504,2500,7806.60009765625
1774788719.5092804,2600,7805.7998046875
1774789221.4830728,2700,7793.75
1774789726.5990818,2800,7796.14990234375
1774790233.1802528,2900,7804.35009765625
1774790740.5138717,3000,7823.60009765625
1774791250.3289657,3100,7839.10009765625
1774791756.6111941,3200,7823.10009765625
1774792261.4583132,3300,7836.5498046875
1774792763.3806608,3400,7840.10009765625
1774793264.2382412,3500,7848.7998046875
1774793768.8687546,3600,7860.7001953125
1774794271.2602167,3700,7845.75
1774794776.80689,3800,7844.75
1774795286.6716266,3900,7849.7001953125
1774795793.5648763,4000,7865.5498046875
1774796301.3045228,4100,7836.64990234375
1774796807.560945,4200,7834.0
1774797308.1942341,4300,7793.64990234375
1774797812.8504796,4400,7819.89990234375
1774798316.485657,4500,7817.4501953125
1774798824.3960428,4600,7774.14990234375
1774799331.9796472,4700,7809.5498046875
1774799839.28661,4800,7796.2998046875
1774800352.714516,4900,7782.89990234375
1774800864.9534547,5000,7815.4501953125
1774801375.2627258,5100,7789.5498046875
1774801881.4685695,5200,7807.5
1774802381.3770275,5300,7797.0
1774802887.0976624,5400,7831.2998046875
1774803389.6277976,5500,7857.7001953125
1774803895.2682471,5600,7839.9501953125
1774804402.5365658,5700,7803.0498046875
1774804911.975451,5800,7794.0498046875
1774805424.1164067,5900,7808.85009765625
1774805934.9211118,6000,7755.25
1774806441.176236,6100,7794.10009765625
1774806950.1242707,6200,7802.35009765625
1774807453.972591,6300,7771.2998046875
1774807957.2783258,6400,7701.85009765625
1774808463.7043724,6500,7774.2998046875
1774808970.9071436,6600,7731.85009765625
1774809477.9773505,6700,7718.64990234375
1774809988.8766546,6800,7773.0
1774810501.0003028,6900,7677.0
1774811010.9253783,7000,7764.7998046875
1774811521.4844348,7100,7771.75
1774812031.3531678,7200,7740.2998046875
1774812537.4178038,7300,7742.64990234375
1774813043.675594,7400,7777.2998046875
1774813545.9312317,7500,7704.5498046875
1774814052.6074843,7600,7764.85009765625
1774814558.7954571,7700,7702.64990234375
1774815065.1761239,7800,7740.64990234375
1774815573.5473971,7900,7801.60009765625
1774816081.1929805,8000,7827.2998046875
1774816587.281688,8100,7735.7998046875
1774817091.367947,8200,7694.5
1774817597.5819674,8300,7551.0
1774818102.8063815,8400,7794.2998046875
1774818613.116813,8500,7763.0
1774819123.8246288,8600,7763.0498046875
1774819636.399099,8700,7760.2001953125
1774820149.7148652,8800,7730.14990234375
1774820664.4556775,8900,7729.35009765625
1774821177.8250694,9000,7699.9501953125
1774821688.0564284,9100,7718.9501953125
1774822195.6269186,9200,7743.14990234375
1774822699.8336456,9300,7806.7001953125
1774823206.69529,9400,7743.89990234375
1774823717.5723257,9500,7744.25
1774824227.2748606,9600,7690.0
1774824738.3957112,9700,7631.14990234375
1774825251.2428463,9800,7720.0
1774825763.7070062,9900,7715.9501953125
1774826275.4298718,10000,7736.14990234375
1774826788.140077,10100,7795.7001953125
1774827299.7814903,10200,7746.14990234375
1774827811.6261525,10300,7715.39990234375
1774828322.713915,10400,7744.39990234375
1774828835.556008,10500,7681.7998046875
1774829348.5273602,10600,7715.5
1774829862.077161,10700,7801.0498046875
1774830375.7267418,10800,7813.35009765625
1774830892.7538202,10900,7684.89990234375
1774831407.4647412,11000,7696.5498046875
1774831922.404072,11100,7722.60009765625
1774832432.8449473,11200,7588.75
1774832942.523069,11300,7791.2998046875
1774833451.045301,11400,7784.2001953125
1774833962.2522554,11500,7653.14990234375
1774834474.035345,11600,7673.10009765625
1774834985.515451,11700,7650.14990234375
1774835495.378249,11800,7708.39990234375
1774836008.5557992,11900,7679.75
1774836522.8346767,12000,7702.9501953125
1774837037.92232,12100,7676.5498046875
1774837549.3150604,12200,7682.10009765625
1774838061.1671152,12300,7603.75
1774838572.956213,12400,7650.2001953125
1774839081.9405315,12500,7710.2001953125
1774839596.0861344,12600,7757.60009765625
1774840108.2524352,12700,7763.39990234375
1774840621.795271,12800,7754.9501953125
1774841137.485455,12900,7654.25
1774841650.5050724,13000,7797.9501953125
1774842163.1247323,13100,7795.35009765625
1774842680.3760054,13200,7755.2001953125
1774843195.2962008,13300,7694.2001953125
1774843707.230572,13400,7691.2001953125
1774844217.8019981,13500,7650.39990234375
1774844726.7582061,13600,7718.2001953125
1774845232.32828,13700,7804.75
1774845741.3092139,13800,7737.14990234375
1774846256.2480683,13900,7722.14990234375
