Wall time,Step,Value
1773406588.9805353,100,-9.666557312011719
1773406702.9677367,200,-8.88268756866455
1773406820.8613465,300,-7.789370536804199
1773406936.8182225,400,-6.255266189575195
1773407054.7008004,500,-4.495926380157471
1773407173.1031742,600,-3.6577837467193604
1773407292.2442675,700,-3.4159209728240967
1773407410.197317,800,-3.1276638507843018
1773407528.5686808,900,-3.204645872116089
1773407647.1936488,1000,-2.992871046066284
1773407766.0452392,1100,-2.8523616790771484
1773407885.977352,1200,-2.968461751937866
1773408001.7746277,1300,-2.873910665512085
1773408122.956536,1400,-2.6442744731903076
1773408238.4280698,1500,-2.7506237030029297
1773408359.1721501,1600,-2.8260550498962402
1773408476.5666666,1700,-2.6651344299316406
1773408594.6134396,1800,-2.898583173751831
1773408714.807889,1900,-2.6638834476470947
1773408833.121635,2000,-2.7021820545196533
1773408954.6202664,2100,-2.6161468029022217
1773409072.8514545,2200,-2.690601110458374
1773409191.3542073,2300,-2.7046380043029785
1773409312.296261,2400,-2.5868866443634033
1773409431.004355,2500,-2.6227269172668457
1773409551.8673646,2600,-2.617720365524292
1773409670.6690361,2700,-2.5246591567993164
1773409792.1328082,2800,-2.5277292728424072
1773409910.994811,2900,-2.489079236984253
1773410030.9461067,3000,-2.607881546020508
1773410152.3541615,3100,-2.6346137523651123
1773410272.3179913,3200,-2.55281138420105
1773410392.4002693,3300,-2.5597312450408936
1773410511.3129747,3400,-2.584129810333252
1773410631.2238846,3500,-2.508657217025757
1773410752.7304826,3600,-2.442373275756836
1773410872.0735736,3700,-2.4001870155334473
1773410992.175508,3800,-2.663677453994751
1773411110.1987662,3900,-2.450483798980713
1773411231.9922519,4000,-2.403266668319702
1773411350.6842897,4100,-2.3045871257781982
1773411471.080369,4200,-2.4578583240509033
1773411590.6523678,4300,-2.474919319152832
1773411710.4602976,4400,-2.578545331954956
1773411831.7619753,4500,-2.4632391929626465
1773411951.1460736,4600,-2.3787589073181152
1773412073.0361905,4700,-2.304152727127075
1773412193.9328582,4800,-2.421461820602417
1773412313.8753552,4900,-2.557036876678467
1773412435.6272023,5000,-2.4342174530029297
1773412552.8686252,5100,-2.428654670715332
1773412673.514651,5200,-2.3639914989471436
1773412793.6562579,5300,-2.295978546142578
1773412914.2815776,5400,-2.294799566268921
1773413034.6313524,5500,-2.331660747528076
1773413155.0933952,5600,-2.3396589756011963
1773413275.189116,5700,-2.290562152862549
1773413395.2783144,5800,-2.3537955284118652
1773413516.575055,5900,-2.2814197540283203
1773413638.6163373,6000,-2.245765209197998
1773413760.29758,6100,-2.294057607650757
1773413882.0047345,6200,-2.3071248531341553
1773413999.336353,6300,-2.3694093227386475
1773414119.6508386,6400,-2.3009960651397705
1773414240.7260518,6500,-2.3737664222717285
1773414361.2464032,6600,-2.2836146354675293
1773414481.5259256,6700,-2.2109172344207764
1773414602.2459404,6800,-2.382549524307251
1773414721.2136157,6900,-2.4106979370117188
1773414842.142455,7000,-2.326911449432373
1773414962.9447217,7100,-2.4086971282958984
1773415084.1614792,7200,-2.2923409938812256
1773415204.3469455,7300,-2.513728380203247
1773415325.211057,7400,-2.2613182067871094
1773415445.0694797,7500,-2.1439242362976074
1773415565.7112932,7600,-2.2408668994903564
1773415685.8637433,7700,-2.2080676555633545
1773415807.0003595,7800,-2.475792169570923
1773415928.7845662,7900,-2.338502883911133
1773416048.3495843,8000,-2.1633853912353516
1773416169.792496,8100,-2.1346499919891357
1773416290.2193992,8200,-2.2116265296936035
1773416411.9207253,8300,-2.210374355316162
1773416532.0769594,8400,-2.1999330520629883
1773416652.4694474,8500,-2.1233816146850586
1773416773.8299615,8600,-2.1520562171936035
1773416896.8837624,8700,-2.1786623001098633
1773417017.460563,8800,-2.2488491535186768
1773417137.4915934,8900,-2.3510210514068604
1773417261.0376737,9000,-2.1446709632873535
1773417381.4824507,9100,-2.1541285514831543
1773417501.8995934,9200,-2.1549408435821533
1773417623.939557,9300,-2.2521042823791504
1773417745.1011367,9400,-2.069211959838867
1773417866.8207042,9500,-2.123443841934204
1773417986.663315,9600,-1.958320140838623
1773418107.740522,9700,-2.1253490447998047
1773418227.3699164,9800,-2.2022433280944824
1773418347.6153936,9900,-2.1958353519439697
1773418469.3409543,10000,-2.1298828125
1773418590.7427113,10100,-2.1827125549316406
1773418710.9764051,10200,-2.0274405479431152
1773418831.990173,10300,-2.185215711593628
1773418952.1859448,10400,-2.0630931854248047
1773419073.7354918,10500,-2.1429004669189453
1773419192.9993436,10600,-2.095094919204712
1773419314.0244305,10700,-2.126943349838257
1773419433.413094,10800,-2.1590094566345215
1773419556.7642212,10900,-2.1457700729370117
1773419676.161062,11000,-2.105321168899536
1773419798.0669816,11100,-2.0665059089660645
1773419918.8561852,11200,-2.0017454624176025
1773420040.233136,11300,-2.0514066219329834
1773420162.0409641,11400,-2.0562405586242676
1773420282.7080605,11500,-1.9116053581237793
1773420404.3606765,11600,-2.029557466506958
1773420524.0555806,11700,-2.1135189533233643
1773420643.6731234,11800,-2.0614185333251953
1773420766.0888283,11900,-2.012659788131714
1773420885.270598,12000,-2.034818172454834
1773421006.9611104,12100,-1.7993909120559692
1773421128.6683207,12200,-2.0324759483337402
1773421250.6157017,12300,-2.070610284805298
1773421369.2014747,12400,-2.0679709911346436
1773421491.109631,12500,-1.951640009880066
1773421613.3841975,12600,-2.0448615550994873
1773421734.327362,12700,-1.961874008178711
1773421854.4679406,12800,-1.9763638973236084
1773421975.37092,12900,-1.8983275890350342
1773422095.4104445,13000,-2.1485185623168945
1773422217.1827211,13100,-1.951445460319519
1773422337.720621,13200,-1.973841905593872
1773422458.6092598,13300,-1.8320341110229492
1773422579.2959654,13400,-1.9051886796951294
1773422700.962139,13500,-1.9437519311904907
1773422820.9388893,13600,-1.9039463996887207
1773422942.0101616,13700,-2.017470359802246
1773423062.6674016,13800,-1.8280932903289795
1773423183.0608714,13900,-2.0385119915008545
1773423303.6200655,14000,-1.9451632499694824
1773423424.7119486,14100,-1.8555539846420288
1773423545.8205326,14200,-1.739989161491394
1773423668.0544374,14300,-1.9673051834106445
1773423787.4142287,14400,-1.7962408065795898
1773423909.1627529,14500,-1.949411153793335
1773424028.7762334,14600,-1.8904927968978882
1773424151.5147657,14700,-1.7718303203582764
1773424271.6271708,14800,-1.9016990661621094
1773424391.4889772,14900,-1.9285087585449219
1773424513.369362,15000,-1.9019392728805542
1773424633.388162,15100,-1.768539309501648
1773424755.0772965,15200,-1.8170970678329468
1773424875.537822,15300,-1.8485101461410522
1773424995.937336,15400,-1.9278289079666138
1773425119.2159603,15500,-1.7291139364242554
1773425241.6669588,15600,-1.8293993473052979
1773425362.809009,15700,-1.9290622472763062
1773425483.040721,15800,-1.803631067276001
1773425603.4073446,15900,-1.7830724716186523
1773425722.222836,16000,-1.642202377319336
1773425843.220409,16100,-1.8018221855163574
1773425963.171745,16200,-1.6488909721374512
1773426084.3012614,16300,-1.9130315780639648
1773426205.2374177,16400,-1.7343705892562866
1773426326.1503162,16500,-1.6744624376296997
1773426446.3098242,16600,-1.7938051223754883
1773426567.0342848,16700,-1.7681649923324585
1773426686.4883654,16800,-1.672061800956726
1773426808.0483336,16900,-1.6936825513839722
1773426929.0578954,17000,-1.6838849782943726
