Wall time,Step,Value
1773973664.4065316,100,-2.459036111831665
1773973719.5674565,200,-2.2926008701324463
1773973776.3821774,300,-1.6578612327575684
1773973832.7393162,400,-1.0477890968322754
1773973889.1521938,500,-0.5508288741111755
1773973946.3206007,600,-0.28970834612846375
1773974001.6830456,700,-0.26479572057724
1773974059.2722416,800,-0.09730564057826996
1773974115.151307,900,-0.20465640723705292
1773974171.5022473,1000,-0.19443021714687347
1773974226.2403882,1100,-0.15133775770664215
1773974283.0536942,1200,-0.11406488716602325
1773974338.4692378,1300,-0.1372290551662445
1773974394.5687203,1400,-0.0515800416469574
1773974450.9985769,1500,-0.00631494028493762
1773974508.4068472,1600,-0.11730240285396576
1773974565.070015,1700,0.017026862129569054
1773974622.2547884,1800,0.007296491879969835
1773974677.8422458,1900,-0.060998789966106415
1773974733.536191,2000,-0.07116230577230453
1773974789.9431212,2100,0.0010851435363292694
1773974846.525045,2200,-0.013342282734811306
1773974902.2645311,2300,0.07950955629348755
1773974958.2967045,2400,0.014597324654459953
1773975016.3847246,2500,0.07491390407085419
1773975072.1002946,2600,0.05143057554960251
1773975128.6647913,2700,0.060541268438100815
1773975184.2028327,2800,0.06072448194026947
1773975241.8023572,2900,0.11198768764734268
1773975300.6684313,3000,0.032510798424482346
1773975356.7457423,3100,0.001702460111118853
1773975415.158914,3200,0.1423792541027069
1773975471.5512588,3300,0.17522893846035004
1773975527.0095704,3400,0.14604222774505615
1773975583.0078871,3500,0.007393741514533758
1773975638.8926377,3600,0.15296868979930878
1773975694.1881616,3700,0.1566804051399231
1773975748.5769818,3800,0.20481353998184204
1773975804.2474644,3900,0.1743895560503006
1773975860.359138,4000,0.08393566310405731
1773975918.4673917,4100,0.121775783598423
1773975979.244017,4200,0.2930501699447632
1773976039.9880004,4300,0.15323707461357117
1773976095.1433833,4400,0.21365128457546234
1773976151.5759816,4500,0.19314855337142944
1773976208.8190098,4600,0.14717546105384827
1773976264.1626558,4700,0.18679329752922058
1773976319.456377,4800,0.20341555774211884
1773976378.3588474,4900,0.17796960473060608
1773976435.6153414,5000,0.17169898748397827
1773976492.3195446,5100,0.21394026279449463
1773976547.573809,5200,0.2609321177005768
1773976602.667435,5300,0.1799159049987793
1773976658.4593482,5400,0.18806326389312744
1773976716.6950514,5500,0.1551784873008728
1773976776.2885025,5600,0.23790284991264343
1773976836.8138273,5700,0.021050631999969482
1773976894.449517,5800,0.27025875449180603
1773976951.0174146,5900,0.2787654995918274
1773977007.305534,6000,0.1347697526216507
1773977063.291607,6100,0.220686137676239
1773977119.8430166,6200,0.27405256032943726
1773977176.7172198,6300,0.24719710648059845
1773977232.7288122,6400,0.2366011142730713
1773977290.717561,6500,0.14901261031627655
1773977347.1716013,6600,0.24608375132083893
1773977403.47331,6700,0.23855584859848022
1773977460.110659,6800,0.2642422318458557
1773977515.5648596,6900,0.21269646286964417
1773977571.5715518,7000,0.19843149185180664
1773977628.258681,7100,0.27929753065109253
1773977683.6034317,7200,0.2738666534423828
1773977739.9720776,7300,0.25274649262428284
1773977796.8833497,7400,0.2464604377746582
1773977853.4299178,7500,0.1509799361228943
1773977910.0416377,7600,0.23876355588436127
1773977965.775637,7700,0.24529244005680084
1773978022.743728,7800,0.2973729968070984
1773978079.418084,7900,0.2218746840953827
1773978136.9162,8000,0.2248556762933731
1773978192.3488767,8100,0.2899699807167053
1773978251.17077,8200,0.2824627161026001
1773978307.530453,8300,0.2797674834728241
